cell,param,direction,stability_score,n_years_tested,avg_lift_pp,years_detail
eur|bearish,aoi_touch_count_since_creation,mostly_down,4,7,4.23,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bearish,signal_candle_range_atr,mostly_down,5,7,5.8,"2019:down,2020:down,2021:up,2022:up,2023:down,2024:down,2025:down"
eur|bearish,signal_candle_body_atr,mostly_down,6,7,3.14,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bearish,aoi_near_edge_atr,mostly_down,4,7,3.36,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bearish,aoi_far_edge_atr,mostly_down,4,7,3.98,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:down,2025:down"
eur|bearish,opp_extreme,mostly_down,4,7,5.95,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:down,2025:down"
eur|bearish,trend_alignment_strength,mostly_up,4,7,6.44,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
eur|bearish,hour_of_day_utc,mostly_down,4,7,2.37,"2019:up,2020:down,2021:up,2022:down,2023:up,2024:down,2025:down"
eur|bearish,conflicted_tf,mostly_up,4,7,6.44,"2019:up,2020:down,2021:up,2022:up,2023:down,2024:up,2025:down"
eur|bullish,htf_range_position_mid,mostly_up,4,7,1.8,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bullish,htf_range_position_high,mostly_up,4,7,3.07,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:up"
eur|bullish,session_directional_bias,mostly_up,4,7,2.99,"2019:down,2020:up,2021:up,2022:down,2023:up,2024:down,2025:up"
eur|bullish,break_close_location,mostly_down,6,7,4.31,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:down,2025:up"
eur|bullish,break_impulse_range_atr,mostly_down,5,7,2.51,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
eur|bullish,break_impulse_body_atr,mostly_down,5,7,3.88,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
eur|bullish,retest_candle_body_penetration,mostly_up,5,7,2.55,"2019:down,2020:up,2021:down,2022:up,2023:up,2024:up,2025:up"
eur|bullish,aoi_height_atr,mostly_down,4,6,3.54,"2019:up,2020:up,2021:down,2022:down,2024:down,2025:down"
eur|bullish,distance_to_next_htf_obstacle_atr,mostly_down,5,7,2.72,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:down"
eur|bullish,distance_from_last_impulse_atr,mostly_up,5,7,3.83,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:up,2025:up"
eur|bullish,recent_trend_payoff_atr_24h,mostly_up,4,7,2.49,"2019:up,2020:up,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bullish,recent_trend_payoff_atr_48h,mostly_down,4,7,2.61,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
eur|bullish,aoi_time_since_last_touch,mostly_down,4,7,2.55,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:down,2025:down"
eur|bullish,aoi_last_reaction_strength,mostly_up,4,7,3.72,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:up"
eur|bullish,htf_range_size_mid_atr,mostly_down,5,7,3.11,"2019:up,2020:up,2021:down,2022:down,2023:down,2024:down,2025:down"
eur|bullish,aoi_midpoint_range_position_mid,mostly_down,4,7,3.54,"2019:down,2020:down,2021:down,2022:up,2023:down,2024:up,2025:up"
eur|bullish,trend_age_bars_1h,mostly_down,6,7,3.35,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:down,2025:up"
eur|bullish,trend_age_impulses,mostly_down,4,7,2.87,"2019:up,2020:down,2021:up,2022:down,2023:down,2024:down,2025:up"
eur|bullish,max_retest_penetration_atr,mostly_down,4,7,3.38,"2019:down,2020:down,2021:down,2022:up,2023:up,2024:up,2025:down"
eur|bullish,bars_between_retest_and_break,mostly_up,4,7,4.17,"2019:up,2020:down,2021:down,2022:up,2023:up,2024:down,2025:up"
eur|bullish,aoi_touch_count_since_creation,mostly_down,4,7,2.07,"2019:down,2020:down,2021:up,2022:up,2023:up,2024:down,2025:down"
eur|bullish,signal_candle_range_atr,mostly_down,5,7,2.51,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
eur|bullish,signal_candle_body_atr,mostly_down,5,7,3.88,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
eur|bullish,aoi_near_edge_atr,mostly_down,5,7,1.54,"2019:down,2020:up,2021:tie,2022:down,2023:down,2024:down,2025:down"
eur|bullish,aoi_far_edge_atr,mostly_down,4,7,3.19,"2019:up,2020:up,2021:down,2022:down,2023:up,2024:down,2025:down"
eur|bullish,opp_extreme,mostly_down,4,7,3.98,"2019:down,2020:down,2021:down,2022:down,2023:up,2024:up,2025:up"
eur|bullish,trend_alignment_strength,mostly_down,6,7,3.35,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:down,2025:up"
eur|bullish,hour_of_day_utc,mostly_down,5,7,2.45,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:down,2025:down"
eur|bullish,conflicted_tf,mostly_down,6,7,3.35,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:down,2025:up"
gbp|bearish,htf_range_position_mid,mostly_up,6,7,3.96,"2019:up,2020:up,2021:up,2022:up,2023:up,2024:down,2025:up"
gbp|bearish,htf_range_position_high,mostly_down,4,7,5.0,"2019:down,2020:up,2021:down,2022:up,2023:up,2024:down,2025:down"
gbp|bearish,session_directional_bias,mostly_down,5,7,3.94,"2019:down,2020:up,2021:down,2022:up,2023:down,2024:down,2025:down"
gbp|bearish,break_close_location,mostly_down,5,7,2.78,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:down,2025:up"
gbp|bearish,break_impulse_range_atr,mostly_down,6,7,6.06,"2019:down,2020:down,2021:up,2022:down,2023:down,2024:down,2025:down"
gbp|bearish,break_impulse_body_atr,mostly_down,6,7,3.93,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:down,2025:down"
gbp|bearish,retest_candle_body_penetration,mostly_down,4,7,3.87,"2019:up,2020:down,2021:down,2022:down,2023:up,2024:down,2025:up"
gbp|bearish,aoi_height_atr,consistent_up,6,6,3.47,"2019:up,2020:up,2021:up,2022:up,2024:up,2025:up"
gbp|bearish,distance_to_next_htf_obstacle_atr,mostly_up,4,7,3.75,"2019:down,2020:up,2021:up,2022:down,2023:up,2024:down,2025:up"
gbp|bearish,distance_from_last_impulse_atr,mostly_down,4,7,5.01,"2019:up,2020:down,2021:up,2022:down,2023:down,2024:down,2025:up"
gbp|bearish,recent_trend_payoff_atr_24h,mostly_up,5,7,3.64,"2019:down,2020:up,2021:up,2022:down,2023:up,2024:up,2025:up"
gbp|bearish,recent_trend_payoff_atr_48h,mostly_down,5,7,4.15,"2019:down,2020:down,2021:down,2022:down,2023:down,2024:up,2025:up"
gbp|bearish,aoi_time_since_last_touch,mostly_up,4,7,2.71,"2019:down,2020:down,2021:up,2022:down,2023:up,2024:up,2025:up"
gbp|bearish,aoi_last_reaction_strength,mostly_down,4,7,4.02,"2019:up,2020:down,2021:down,2022:up,2023:down,2024:down,2025:up"
gbp|bearish,htf_range_size_mid_atr,mostly_down,4,7,4.57,"2019:up,2020:down,2021:down,2022:down,2023:down,2024:up,2025:up"
