sl_model,n_groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_5,1,signal_candle_opposite_extreme_atr>=0.5,863,123.4,0.3789,0.1599,14,1.263
SL_ATR_0_5,2,distance_from_last_impulse_atr>=1.0,742,106.1,0.3787,0.1361,11,1.219
SL_ATR_0_5,2,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,1004,143.5,0.3785,0.1355,12,1.218
SL_AOI_NEAR_PLUS_0_5,1,max_retest_penetration_atr<=1.5,819,117.1,0.3785,0.1528,12,1.249
SL_AOI_NEAR_PLUS_0_25,1,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,727,103.9,0.3783,0.1368,11,1.221
SL_AOI_NEAR_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.5,846,120.9,0.3783,0.1395,15,1.225
SL_ATR_0_5,2,bars_between_retest_and_break<=3,1343,192.0,0.3783,0.1348,17,1.217
SL_ATR_0_5,2,bars_between_retest_and_break<=4,1433,204.9,0.3782,0.1347,17,1.217
SL_SIGNAL_CANDLE,1,htf_range_size_mid_atr>=15,788,112.6,0.3782,0.1617,13,1.266
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,2140,305.9,0.378,0.1345,18,1.216
SL_ATR_1_0,6,max_retest_penetration_atr<=1.0,2003,286.3,0.3779,0.1351,17,1.218
SL_ATR_1_0,6,max_retest_penetration_atr<=1.25 & signal_candle_opposite_extreme_atr>=0.35,2149,307.2,0.3779,0.1348,17,1.217
SL_AOI_NEAR_PLUS_0_25,1,aoi_far_edge_atr>=1.0,905,129.4,0.3779,0.1381,15,1.223
SL_ATR_0_5,2,distance_from_last_impulse_atr>=0.5,1114,159.3,0.3779,0.1338,15,1.215
SL_AOI_NEAR_PLUS_0_5,1,break_close_location>=0.5,871,124.5,0.3777,0.1494,16,1.243
SL_ATR_1_0,6,distance_to_next_htf_obstacle_atr>=0.25,2092,299.1,0.3776,0.1342,18,1.216
SL_ATR_0_5,2,distance_to_next_htf_obstacle_atr>=0.25 & aoi_near_edge_atr>=0.25,760,108.6,0.3776,0.1329,20,1.214
SL_ATR_1_0,6,max_retest_penetration_atr<=1.5,2641,377.5,0.3775,0.1335,17,1.215
SL_SIGNAL_CANDLE,1,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3774,0.164,16,1.27
SL_AOI_NEAR_PLUS_0_5,1,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3774,0.1476,15,1.24
SL_AOI_NEAR_PLUS_0_25,1,no_gate,928,132.7,0.3772,0.1358,13,1.219
SL_AOI_NEAR_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.25,920,131.5,0.3772,0.1359,13,1.219
SL_ATR_0_5,2,distance_to_next_htf_obstacle_atr>=0.5,851,121.7,0.3772,0.1316,19,1.211
SL_ATR_1_0,6,bars_between_retest_and_break<=2,2169,310.1,0.3771,0.1326,18,1.213
SL_SIGNAL_CANDLE,1,bars_between_retest_and_break<=3,793,113.4,0.377,0.1558,19,1.256
SL_AOI_NEAR_PLUS_0_5,1,bars_between_retest_and_break<=3,793,113.4,0.377,0.1459,14,1.237
SL_AOI_NEAR_PLUS_0_25,1,break_close_location>=0.5,849,121.4,0.3769,0.1354,12,1.218
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & max_retest_penetration_atr<=1.25,2014,287.9,0.3769,0.1319,17,1.212
SL_AOI_NEAR_PLUS_0_25,1,break_close_location>=0.65,720,102.9,0.3764,0.1347,12,1.217
SL_AOI_NEAR_PLUS_0_5,1,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3763,0.1441,16,1.234
SL_SIGNAL_CANDLE,1,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3763,0.1601,16,1.263
SL_ATR_1_0,6,htf_range_size_mid_atr>=15,2491,356.1,0.3762,0.1285,18,1.206
SL_ATR_1_0,6,htf_range_mid>=0.5,1505,215.1,0.3761,0.1288,17,1.207
SL_ATR_1_0,6,break_close_location>=0.5 & distance_to_next_htf_obstacle_atr>=0.25,1877,268.3,0.3761,0.1298,16,1.208
SL_AOI_NEAR_PLUS_0_25,1,htf_range_size_mid_atr>=10,912,130.4,0.3761,0.1327,13,1.213
SL_ATR_1_5,1,bars_between_retest_and_break<=2,713,101.9,0.3759,0.1502,11,1.246
SL_SIGNAL_CANDLE,1,no_gate,945,135.1,0.3757,0.1579,16,1.259
SL_ATR_2_0,1,break_close_location>=0.65,740,105.8,0.3757,0.2123,12,1.371
SL_AOI_NEAR_PLUS_0_5,1,no_gate,945,135.1,0.3757,0.1419,16,1.23
SL_ATR_1_0,6,htf_range_size_mid_atr>=10,2912,416.3,0.3757,0.1274,20,1.204
SL_ATR_1_0,6,bars_between_retest_and_break<=4,2529,361.5,0.3756,0.128,19,1.205
SL_ATR_1_0,6,bars_between_retest_and_break<=2 & break_close_location>=0.5,1949,278.6,0.3756,0.1281,19,1.205
SL_SIGNAL_CANDLE,1,break_close_location>=0.5,871,124.5,0.3754,0.1598,15,1.263
SL_AOI_NEAR_PLUS_0_25,1,signal_candle_opposite_extreme_atr>=0.35,903,129.1,0.3754,0.1307,13,1.21
SL_AOI_NEAR_PLUS_0_25,1,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,722,103.2,0.3753,0.1281,11,1.206
SL_ATR_1_5,1,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3753,0.1501,10,1.246
SL_ATR_1_0,6,htf_dir>=0.45,1423,203.4,0.3753,0.1271,13,1.204
SL_ATR_1_5,1,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3753,0.1497,11,1.245
SL_ATR_1_0,6,trend_age_impulses>=3,2841,406.1,0.3752,0.126,19,1.202
