n_groups,groups,group_config,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,htf_range_size_mid_atr>=10,2416,345.4,0.3746,0.1322,12,1.213
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,signal_candle_opposite_extreme_atr>=0.35,2165,309.5,0.3741,0.1327,13,1.214
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,no_gate,2441,349.0,0.374,0.1318,13,1.213
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,signal_candle_opposite_extreme_atr>=0.25,2346,335.4,0.3738,0.1316,12,1.212
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.7,1734,247.9,0.3737,0.1309,12,1.211
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.25 & break_close_location>=0.65,1333,190.6,0.3736,0.1304,15,1.21
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=4,2102,300.5,0.3735,0.1299,12,1.209
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.5,2244,320.8,0.3734,0.1302,12,1.21
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_far_edge_atr>=1.5 & bars_between_retest_and_break<=3,1305,186.6,0.3732,0.1313,12,1.212
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,1717,245.5,0.3727,0.1251,14,1.201
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bear_htf>=0.8&bull_htf>=0.3 & bars_between_retest_and_break<=3,950,135.8,0.3726,0.1213,11,1.194
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,break_close_location>=0.75,1563,223.4,0.3724,0.1269,11,1.204
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,max_retest_penetration_atr<=1.0 & signal_candle_opposite_extreme_atr>=0.5,1104,157.8,0.3723,0.1274,18,1.205
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,trend_age_impulses>=3,2349,335.8,0.3721,0.1238,15,1.198
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,1293,184.8,0.372,0.124,14,1.199
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2,1738,248.5,0.3717,0.1239,14,1.199
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & aoi_far_edge_atr>=1.5,1172,167.5,0.3712,0.1243,12,1.2
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & break_close_location>=0.5,1591,227.4,0.3708,0.1222,19,1.196
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,1444,206.4,0.3705,0.1204,14,1.193
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,aoi_far_edge_atr>=1.0,2359,337.2,0.3705,0.1212,13,1.194
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=3,1949,278.6,0.3704,0.1206,14,1.193
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & break_close_location>=0.65,1331,190.3,0.3704,0.1228,19,1.197
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & max_retest_penetration_atr<=1.25,1578,225.6,0.3701,0.12,13,1.192
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,1533,219.2,0.3699,0.1196,14,1.192
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=3 & max_retest_penetration_atr<=1.25,1720,245.9,0.3698,0.119,14,1.191
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=2 & aoi_near_edge_atr>=0.25,959,137.1,0.3691,0.1209,12,1.194
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=3 & break_close_location>=0.65,1505,215.1,0.3688,0.1183,16,1.19
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,bars_between_retest_and_break<=1,1464,209.3,0.3675,0.1084,13,1.172
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,signal_candle_opposite_extreme_atr>=0.5,1822,260.5,0.3672,0.1111,15,1.177
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,trend_age_impulses>=5,1633,233.4,0.3662,0.1066,17,1.169
4,jpy_pairs+usd_majors+eur_crosses+gbp_crosses,jpy_pairs=SL_ATR_1_0/h12+3h; usd_majors=SL_AOI_NEAR_PLUS_0_25/h21+3h; eur_crosses=SL_AOI_FAR/h23+3h; gbp_crosses=SL_ATR_1_0/h03+3h,distance_to_next_htf_obstacle_atr>=0.25 & aoi_near_edge_atr>=0.25,874,124.9,0.3627,0.1,12,1.159
