bear_gate,bull_gate,gate_combined,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
htf_range_size_mid_atr>=25.16,recent_trend_payoff_atr_48h<=-3.34,bear[htf_range_size_mid_atr>=25.16]  +  bull[recent_trend_payoff_atr_48h<=-3.34],788,112.6,0.4518,0.3678,12,1.681
aoi_touch_count_since_creation<=4.0,aoi_last_reaction_strength>=0.84,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_last_reaction_strength>=0.84],1105,158.0,0.4516,0.365,14,1.672
break_impulse_body_atr<=0.59,session_directional_bias>=0.2,bear[break_impulse_body_atr<=0.59]  +  bull[session_directional_bias>=0.2],1074,153.5,0.4516,0.3609,14,1.662
aoi_touch_count_since_creation<=4.0,distance_from_last_impulse_atr<=0.38,bear[aoi_touch_count_since_creation<=4.0]  +  bull[distance_from_last_impulse_atr<=0.38],1184,169.3,0.451,0.3563,15,1.652
break_impulse_range_atr<=0.72,aoi_midpoint_range_position_mid<=0.43,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_midpoint_range_position_mid<=0.43],783,111.9,0.4508,0.3637,11,1.67
htf_range_size_mid_atr>=25.16,break_impulse_range_atr<=0.83,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_impulse_range_atr<=0.83],783,111.9,0.4508,0.3535,14,1.645
aoi_touch_count_since_creation<=4.0,aoi_far_edge_atr<=1.43,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_far_edge_atr<=1.43],1187,169.7,0.4507,0.361,11,1.665
aoi_touch_count_since_creation<=4.0,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_touch_count_since_creation<=4.0]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1185,169.4,0.4506,0.3628,14,1.669
break_impulse_range_atr<=0.72,break_close_location<=0.67,bear[break_impulse_range_atr<=0.72]  +  bull[break_close_location<=0.67],779,111.4,0.4506,0.3566,9,1.652
htf_range_size_mid_atr>=25.16,distance_from_last_impulse_atr>=2.23,bear[htf_range_size_mid_atr>=25.16]  +  bull[distance_from_last_impulse_atr>=2.23],788,112.6,0.4505,0.36,9,1.662
break_impulse_body_atr<=0.34,break_impulse_range_atr<=1.14,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_range_atr<=1.14],1195,170.8,0.4502,0.3516,15,1.641
aoi_touch_count_since_creation<=4.0,break_impulse_range_atr<=0.83,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_impulse_range_atr<=0.83],1180,168.7,0.45,0.3532,11,1.645
aoi_touch_count_since_creation<=4.0,distance_from_last_impulse_atr>=2.23,bear[aoi_touch_count_since_creation<=4.0]  +  bull[distance_from_last_impulse_atr>=2.23],1185,169.4,0.4498,0.3576,11,1.656
htf_pos>=0.78,session_directional_bias>=0.2,bear[htf_pos>=0.78]  +  bull[session_directional_bias>=0.2],1001,143.1,0.4496,0.3537,13,1.645
aoi_touch_count_since_creation<=3.0,aoi_midpoint_range_position_high<=0.81,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_midpoint_range_position_high<=0.81],1736,248.2,0.4493,0.3601,18,1.663
max_retest_penetration_atr<=0.46,break_impulse_range_atr<=1.14,bear[max_retest_penetration_atr<=0.46]  +  bull[break_impulse_range_atr<=1.14],1193,170.5,0.4493,0.3517,14,1.642
htf_range_size_mid_atr>=25.16,aoi_midpoint_range_position_mid<=0.43,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_midpoint_range_position_mid<=0.43],788,112.6,0.4492,0.357,11,1.655
htf_range_size_mid_atr>=25.16,break_close_location<=0.67,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_close_location<=0.67],784,112.1,0.449,0.3499,9,1.638
aoi_touch_count_since_creation<=4.0,aoi_midpoint_range_position_mid<=0.43,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_midpoint_range_position_mid<=0.43],1185,169.4,0.4489,0.3555,13,1.652
aoi_touch_count_since_creation<=4.0,break_close_location<=0.67,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_close_location<=0.67],1181,168.8,0.4488,0.3508,11,1.64
signal_candle_opposite_extreme_atr<=0.53,break_impulse_range_atr<=1.14,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_impulse_range_atr<=1.14],1192,170.4,0.4488,0.3475,13,1.631
aoi_near_edge_atr<=0.29,session_directional_bias>=0.2,bear[aoi_near_edge_atr<=0.29]  +  bull[session_directional_bias>=0.2],1083,154.8,0.4488,0.3509,12,1.639
break_impulse_body_atr<=0.59,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_body_atr<=0.59]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1167,166.8,0.4482,0.3459,15,1.628
break_impulse_body_atr<=0.59,aoi_height_atr<=1.12,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_height_atr<=1.12],1174,167.8,0.448,0.3611,11,1.667
break_impulse_range_atr<=0.72,break_impulse_range_atr<=1.14,bear[break_impulse_range_atr<=0.72]  +  bull[break_impulse_range_atr<=1.14],1192,170.4,0.448,0.3469,15,1.63
break_impulse_body_atr<=0.59,break_impulse_body_atr<=0.37,bear[break_impulse_body_atr<=0.59]  +  bull[break_impulse_body_atr<=0.37],1164,166.4,0.4476,0.3442,13,1.624
aoi_touch_count_since_creation<=4.0,break_impulse_range_atr<=1.14,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_impulse_range_atr<=1.14],1594,227.9,0.4473,0.345,16,1.627
break_impulse_body_atr<=0.34,signal_candle_opposite_extreme_atr<=0.87,bear[break_impulse_body_atr<=0.34]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1201,171.7,0.4471,0.3426,11,1.621
htf_range_size_mid_atr>=25.16,break_impulse_range_atr<=1.14,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_impulse_range_atr<=1.14],1197,171.1,0.447,0.3425,13,1.621
htf_range_size_mid_atr>=20.14,session_directional_bias>=0.2,bear[htf_range_size_mid_atr>=20.14]  +  bull[session_directional_bias>=0.2],1072,153.2,0.4468,0.3512,13,1.641
break_impulse_body_atr<=0.34,break_impulse_body_atr<=0.64,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_body_atr<=0.64],1191,170.3,0.4467,0.3436,13,1.624
break_impulse_body_atr<=0.59,aoi_near_edge_atr<=0.14,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_near_edge_atr<=0.14],1162,166.1,0.4466,0.3432,13,1.622
max_retest_penetration_atr<=0.46,signal_candle_opposite_extreme_atr<=0.87,bear[max_retest_penetration_atr<=0.46]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1199,171.4,0.4462,0.3427,13,1.622
htf_pos>=0.78,signal_candle_opposite_extreme_atr<=0.58,bear[htf_pos>=0.78]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1094,156.4,0.4461,0.3382,16,1.611
htf_pos>=0.78,aoi_height_atr<=1.12,bear[htf_pos>=0.78]  +  bull[aoi_height_atr<=1.12],1101,157.4,0.446,0.3545,14,1.652
break_impulse_body_atr<=0.59,aoi_last_reaction_strength>=0.84,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_last_reaction_strength>=0.84],1090,155.8,0.4459,0.3459,13,1.629
max_retest_penetration_atr<=0.46,break_impulse_body_atr<=0.64,bear[max_retest_penetration_atr<=0.46]  +  bull[break_impulse_body_atr<=0.64],1189,170.0,0.4458,0.3437,12,1.625
break_impulse_body_atr<=0.59,distance_from_last_impulse_atr<=0.38,bear[break_impulse_body_atr<=0.59]  +  bull[distance_from_last_impulse_atr<=0.38],1169,167.1,0.4457,0.3384,14,1.611
signal_candle_opposite_extreme_atr<=0.53,signal_candle_opposite_extreme_atr<=0.87,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1198,171.3,0.4457,0.3385,11,1.612
aoi_near_edge_atr<=0.29,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_near_edge_atr<=0.29]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1176,168.1,0.4456,0.3367,13,1.607
aoi_near_edge_atr<=0.29,aoi_height_atr<=1.12,bear[aoi_near_edge_atr<=0.29]  +  bull[aoi_height_atr<=1.12],1183,169.1,0.4455,0.3519,11,1.646
htf_pos>=0.78,break_impulse_body_atr<=0.37,bear[htf_pos>=0.78]  +  bull[break_impulse_body_atr<=0.37],1091,156.0,0.4455,0.3364,17,1.607
break_impulse_body_atr<=0.59,aoi_far_edge_atr<=1.43,bear[break_impulse_body_atr<=0.59]  +  bull[aoi_far_edge_atr<=1.43],1172,167.5,0.4454,0.3433,11,1.624
break_impulse_body_atr<=0.59,recent_trend_payoff_atr_48h<=-3.34,bear[break_impulse_body_atr<=0.59]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1170,167.3,0.4453,0.345,15,1.628
signal_candle_opposite_extreme_atr<=0.53,break_impulse_body_atr<=0.64,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_impulse_body_atr<=0.64],1188,169.8,0.4453,0.3394,11,1.615
break_impulse_range_atr<=0.97,session_directional_bias>=0.2,bear[break_impulse_range_atr<=0.97]  +  bull[session_directional_bias>=0.2],1067,152.5,0.4452,0.3431,12,1.622
aoi_touch_count_since_creation<=4.0,signal_candle_opposite_extreme_atr<=0.87,bear[aoi_touch_count_since_creation<=4.0]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1600,228.7,0.445,0.3383,11,1.612
aoi_near_edge_atr<=0.29,break_impulse_body_atr<=0.37,bear[aoi_near_edge_atr<=0.29]  +  bull[break_impulse_body_atr<=0.37],1173,167.7,0.445,0.335,11,1.604
break_impulse_range_atr<=0.72,signal_candle_opposite_extreme_atr<=0.87,bear[break_impulse_range_atr<=0.72]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1198,171.3,0.4449,0.3379,12,1.611
aoi_touch_count_since_creation<=4.0,break_impulse_body_atr<=0.64,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_impulse_body_atr<=0.64],1590,227.3,0.4447,0.339,14,1.615
break_impulse_body_atr<=0.59,break_impulse_range_atr<=0.83,bear[break_impulse_body_atr<=0.59]  +  bull[break_impulse_range_atr<=0.83],1165,166.5,0.4446,0.3353,13,1.605
recent_trend_payoff_atr_48h<=0.16,session_directional_bias>=0.2,bear[recent_trend_payoff_atr_48h<=0.16]  +  bull[session_directional_bias>=0.2],1073,153.4,0.4445,0.3498,13,1.639
break_impulse_body_atr<=0.59,distance_from_last_impulse_atr>=2.23,bear[break_impulse_body_atr<=0.59]  +  bull[distance_from_last_impulse_atr>=2.23],1170,167.3,0.4444,0.3398,17,1.616
break_impulse_range_atr<=0.72,break_impulse_body_atr<=0.64,bear[break_impulse_range_atr<=0.72]  +  bull[break_impulse_body_atr<=0.64],1188,169.8,0.4444,0.3388,13,1.614
