portfolio,gate,depth,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
top15_win,htf_dir>=0.45 & break_close_location>=0.65 & max_retest_penetration_atr<=1.25,3,795,113.6,0.3975,0.1925,11,1.319
fixed_top15,htf_dir>=0.5 & break_close_location>=0.5,2,770,110.1,0.3974,0.1922,9,1.319
top15_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,3,1010,144.4,0.397,0.1911,9,1.317
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,869,124.2,0.397,0.191,12,1.317
top8_win,htf_dir>=0.4 & signal_candle_opposite_extreme_atr>=0.35,2,790,112.9,0.3962,0.1886,12,1.312
fixed_top15,htf_dir>=0.5,1,871,124.5,0.3961,0.1883,10,1.312
top10_win,htf_dir>=0.45 & bars_between_retest_and_break<=2,2,760,108.6,0.3961,0.1882,14,1.312
fixed_top15,htf_range_mid>=0.6 & signal_candle_opposite_extreme_atr>=0.35,2,717,102.5,0.3961,0.1895,11,1.314
top15_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.5,2,983,140.5,0.3957,0.1872,10,1.31
top12_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.5,2,791,113.1,0.3957,0.1871,10,1.31
top10_win,htf_dir>=0.45 & bars_between_retest_and_break<=3,2,824,117.8,0.3956,0.1869,14,1.309
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,825,117.9,0.3952,0.1855,15,1.307
fixed_top15,htf_range_mid>=0.65,1,706,100.9,0.3952,0.1856,10,1.307
top15_win,htf_dir>=0.4 & break_close_location>=0.65,2,1089,155.7,0.3949,0.1846,14,1.305
top10_win,htf_dir>=0.45 & max_retest_penetration_atr<=1.25,2,765,109.4,0.3948,0.1843,13,1.305
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=2,2,1163,166.3,0.3947,0.184,14,1.304
top8_win,htf_dir>=0.4,1,831,118.8,0.3947,0.1841,12,1.304
top10_win,htf_dir>=0.45 & distance_to_next_htf_obstacle_atr>=0.25,2,804,114.9,0.3943,0.1828,10,1.302
top15_win,htf_dir>=0.4 & max_retest_penetration_atr<=1.25,2,1210,173.0,0.3934,0.1802,11,1.297
top15_win,htf_dir>=0.4 & bars_between_retest_and_break<=3,2,1259,180.0,0.3932,0.1795,14,1.296
top15_win,htf_dir>=0.5 & break_close_location>=0.65 & max_retest_penetration_atr<=1.25,3,730,104.4,0.3932,0.1795,13,1.296
top10_win,no_gate,0,1923,274.9,0.3931,0.1799,16,1.297
top15_win,htf_dir>=0.4 & max_retest_penetration_atr<=1.0,2,1018,145.5,0.3929,0.1788,11,1.294
top8_win,htf_dir>=0.4 & break_close_location>=0.5,2,733,104.8,0.3929,0.1787,12,1.294
top15_win,htf_dir>=0.5 & bars_between_retest_and_break<=2 & break_close_location>=0.65,3,713,101.9,0.3927,0.1781,12,1.293
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & distance_to_next_htf_obstacle_atr>=0.25,3,940,134.4,0.3926,0.1777,9,1.292
top10_win,htf_dir>=0.5 & bars_between_retest_and_break<=2,2,703,100.5,0.3926,0.1778,12,1.293
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=3,2,1009,144.2,0.3925,0.1774,14,1.292
top12_win,htf_dir>=0.4 & max_retest_penetration_atr<=1.25,2,959,137.1,0.3921,0.1762,13,1.29
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & break_close_location>=0.5,3,949,135.7,0.392,0.176,12,1.289
top12_win,htf_dir>=0.4 & bars_between_retest_and_break<=2,2,934,133.5,0.3919,0.1756,13,1.289
top10_win,htf_dir>=0.5 & bars_between_retest_and_break<=3,2,761,108.8,0.3916,0.1748,12,1.287
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,1009,144.2,0.3915,0.1744,9,1.287
top15_win,htf_dir>=0.45 & bars_between_retest_and_break<=2 & signal_candle_opposite_extreme_atr>=0.35,3,989,141.4,0.3913,0.1739,11,1.286
top12_win,htf_dir>=0.45 & bars_between_retest_and_break<=3 & distance_to_next_htf_obstacle_atr>=0.25,3,811,115.9,0.3909,0.1726,11,1.283
top12_win,htf_dir>=0.4 & distance_to_next_htf_obstacle_atr>=0.25,2,973,139.1,0.3905,0.1716,10,1.282
top8_win,htf_dir>=0.45 & signal_candle_opposite_extreme_atr>=0.35,2,738,105.5,0.3902,0.1707,10,1.28
top12_win,no_gate,0,2244,320.8,0.3899,0.1702,17,1.279
