gate,lift,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
bars_between_retest_and_break<=0.0,0.0042,676,96.6,0.4127,0.2546,9,1.442
bars_between_retest_and_break<=0.0,0.0042,676,96.6,0.4127,0.2546,9,1.442
htf_range_size_mid_atr>=13.56,0.0038,1465,209.4,0.4123,0.2512,12,1.434
session_directional_bias_not_null,0.0036,1240,177.3,0.4121,0.257,13,1.447
aoi_midpoint_range_position_mid<=0.78,0.0035,1233,176.3,0.412,0.2549,12,1.442
htf_pos<=0.18,0.0034,641,91.6,0.4119,0.2528,10,1.437
distance_to_next_htf_obstacle_atr>=1.03,0.0033,408,58.3,0.4118,0.2578,13,1.448
aoi_near_edge_atr<=1.02,0.0031,1465,209.4,0.4116,0.2478,10,1.427
htf_range_size_high_atr<=47.13,0.0026,1221,174.5,0.4111,0.2538,12,1.44
aoi_touch_count_since_creation<=8.0,0.0023,1519,217.1,0.4108,0.2495,12,1.431
aoi_far_edge_atr<=2.47,0.0021,1466,209.6,0.4106,0.2446,10,1.421
aoi_height_atr<=1.78,0.002,1464,209.3,0.4105,0.2481,12,1.428
retest_candle_body_penetration>=0.39,0.0019,804,114.9,0.4104,0.2519,11,1.438
aoi_far_edge_atr<=2.06,0.0017,1219,174.3,0.4102,0.2447,13,1.421
retest_candle_body_penetration>=0.23,0.0015,1234,176.4,0.41,0.2479,12,1.429
recent_trend_payoff_atr_48h<=0.05,0.0013,815,116.5,0.4098,0.2537,12,1.44
htf_range_size_high_atr>=30.46,0.001,1221,174.5,0.4095,0.2393,11,1.41
aoi_midpoint_range_position_mid>=0.27,0.0009,1468,209.9,0.4094,0.2439,15,1.42
aoi_midpoint_range_position_high>=0.43,0.0009,1214,173.5,0.4094,0.2465,11,1.425
break_impulse_range_atr<=1.92,0.0007,1464,209.3,0.4092,0.2389,11,1.409
aoi_last_reaction_strength<=7.2,0.0007,584,83.5,0.4092,0.2478,8,1.427
trend_age_impulses<=6.0,0.0007,1288,184.1,0.4092,0.2468,10,1.426
aoi_midpoint_range_position_high<=0.9,0.0007,1464,209.3,0.4092,0.2439,13,1.42
distance_to_next_htf_obstacle_atr>=0.2,0.0005,1220,174.4,0.409,0.2412,14,1.414
bars_between_retest_and_break<=5.0,0.0002,1495,213.7,0.4087,0.2423,14,1.417
break_impulse_body_atr<=1.31,0.0002,1463,209.1,0.4087,0.2385,10,1.408
session_directional_bias<=0.83,0.0001,1116,159.5,0.4086,0.2463,12,1.426
trend_age_impulses<=5.0,0.0001,957,136.8,0.4086,0.2501,10,1.434
bars_between_retest_and_break>=0.0,0.0,1628,232.7,0.4085,0.2416,12,1.415
bars_between_retest_and_break>=0.0,0.0,1628,232.7,0.4085,0.2416,12,1.415
bars_between_retest_and_break<=2.0,0.0,1241,177.4,0.4085,0.2436,16,1.419
aoi_classification_not_null,0.0,1628,232.7,0.4085,0.2416,12,1.415
trend_age_impulses>=6.0,-0.0002,671,95.9,0.4083,0.2295,10,1.39
break_impulse_range_atr>=0.61,-0.0006,1471,210.3,0.4079,0.2416,11,1.416
aoi_time_since_last_touch>=0.0,-0.0007,1621,231.7,0.4078,0.2396,12,1.411
aoi_time_since_last_touch>=0.0,-0.0007,1621,231.7,0.4078,0.2396,12,1.411
aoi_time_since_last_touch>=0.0,-0.0007,1621,231.7,0.4078,0.2396,12,1.411
recent_trend_payoff_atr_24h<=4.15,-0.0009,1467,209.7,0.4076,0.2409,12,1.414
aoi_touch_count_since_creation>=2.0,-0.001,1497,214.0,0.4075,0.2386,12,1.41
retest_candle_body_penetration>=0.14,-0.001,1465,209.4,0.4075,0.2405,15,1.414
distance_from_last_impulse_atr>=0.15,-0.001,1470,210.1,0.4075,0.2404,10,1.413
distance_to_next_htf_obstacle_atr<=1.03,-0.0011,1220,174.4,0.4074,0.2362,13,1.405
aoi_time_since_last_touch<=0.0,-0.0011,940,134.4,0.4074,0.2367,11,1.406
aoi_time_since_last_touch<=0.0,-0.0011,940,134.4,0.4074,0.2367,11,1.406
aoi_time_since_last_touch<=0.0,-0.0011,940,134.4,0.4074,0.2367,11,1.406
break_close_location>=0.51,-0.0014,1464,209.3,0.4071,0.2393,14,1.411
recent_trend_payoff_atr_48h>=0.05,-0.0014,813,116.2,0.4071,0.2295,15,1.391
aoi_midpoint_range_position_high>=0.29,-0.0015,1467,209.7,0.407,0.2366,9,1.405
distance_to_next_htf_obstacle_atr<=0.2,-0.0016,408,58.3,0.4069,0.2428,8,1.419
max_retest_penetration_atr<=1.59,-0.0018,1468,209.9,0.4067,0.2351,11,1.402
