sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,htf_range_size_mid_atr>=10,929,132.8,0.3681,0.1621,16,1.27
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,distance_to_next_htf_obstacle_atr>=0.25 & max_retest_penetration_atr<=1.25,848,121.2,0.3679,0.1085,16,1.172
SL_ATR_2_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3677,0.1918,9,1.333
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,bars_between_retest_and_break<=2,713,101.9,0.3675,0.1544,15,1.256
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,max_retest_penetration_atr<=1.5,819,117.1,0.3675,0.1509,13,1.248
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,aoi_far_edge_atr>=1.0,1538,219.9,0.3674,0.1162,14,1.186
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,signal_candle_opposite_extreme_atr>=0.5,1307,186.8,0.3673,0.1183,17,1.19
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,max_retest_penetration_atr<=1.25 & signal_candle_opposite_extreme_atr>=0.35,1125,160.8,0.3671,0.1155,14,1.185
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,signal_candle_opposite_extreme_atr>=0.35,1477,211.1,0.367,0.118,14,1.189
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,break_close_location>=0.7,1140,163.0,0.3667,0.1166,15,1.187
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3666,0.1579,16,1.263
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,break_close_location>=0.75,1018,145.5,0.3664,0.1178,13,1.189
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,aoi_near_edge_atr>=0.25,950,135.8,0.3663,0.1111,15,1.177
SL_ATR_2_0,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3657,0.1862,10,1.322
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,938,134.1,0.3657,0.1541,16,1.256
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,htf_range_size_mid_atr>=15,788,112.6,0.3655,0.1522,15,1.252
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=1,963,137.7,0.3655,0.0981,13,1.155
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,distance_to_next_htf_obstacle_atr>=0.25 & signal_candle_opposite_extreme_atr>=0.35,955,136.5,0.3654,0.1019,16,1.161
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,break_close_location>=0.75,939,134.2,0.3653,0.1001,19,1.158
SL_ATR_2_0,threshold,1,jpy_pairs,no_gate,945,135.1,0.3651,0.1838,10,1.317
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,no_gate,945,135.1,0.3651,0.1519,16,1.252
SL_ATR_2_0,threshold,1,jpy_pairs,trend_age_impulses>=3,885,126.5,0.365,0.1679,15,1.285
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & aoi_near_edge_atr>=0.25,732,104.6,0.3648,0.1099,15,1.175
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_range_mid>=0.4,918,131.2,0.3638,0.1052,12,1.168
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bear_htf>=0.7&bull_htf>=0.3,814,116.4,0.3636,0.1033,12,1.164
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,distance_to_next_htf_obstacle_atr>=0.25 & break_close_location>=0.65,817,116.8,0.3635,0.097,17,1.153
SL_ATR_2_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=2,713,101.9,0.3633,0.1838,10,1.319
SL_ATR_2_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.3632,0.1857,9,1.322
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.3632,0.1413,12,1.233
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,htf_range_mid>=0.4 & break_close_location>=0.65,739,105.6,0.3627,0.1027,10,1.164
SL_ATR_2_0,threshold,1,jpy_pairs,aoi_far_edge_atr>=1.0,923,131.9,0.3619,0.1697,10,1.29
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,bars_between_retest_and_break<=4,851,121.7,0.3619,0.1399,13,1.23
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bear_htf>=0.4&bull_htf>=0.3,998,142.7,0.3617,0.0996,12,1.158
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,aoi_far_edge_atr>=1.0,923,131.9,0.3608,0.1395,16,1.23
SL_ATR_2_0,threshold,1,jpy_pairs,max_retest_penetration_atr<=1.5,819,117.1,0.3602,0.1681,10,1.288
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,trend_age_impulses>=5,981,140.2,0.3588,0.0833,14,1.131
SL_ATR_2_0,threshold,1,jpy_pairs,bars_between_retest_and_break<=4,851,121.7,0.3584,0.1704,10,1.293
SL_SIGNAL_CANDLE_PLUS_0_25,threshold,1,jpy_pairs,trend_age_impulses>=3,885,126.5,0.3582,0.128,16,1.209
