depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
1,geo_aoi_height_atr>=1.144(p25),0.0003,72.8,1360,194.4,0.4074,0.5926,0.0,0.2221,11,1.375
1,max_retest_penetration_atr>=0.458(p25),0.0003,78.6,1468,209.9,0.4074,0.592,0.0007,0.2227,9,1.376
1,aoi_class==tradable,0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,trend_age_bars_1h>=0.000(p50),0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,trend_age_bars_1h>=0.000(p25),0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,trend_age_bars_1h>=0.000(p10),0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,trend_alignment>=2,0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,bars_between_retest_and_break>=0.000(p10),0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,bars_between_retest_and_break>=0.000(p25),0.0,100.0,1867,266.9,0.4071,0.5924,0.0005,0.2217,10,1.374
1,distance_from_last_impulse_atr<=1.826(p75),-0.0001,74.0,1381,197.4,0.407,0.5923,0.0007,0.2215,14,1.374
1,session_directional_bias>=-2.035(p10),-0.0006,75.9,1417,202.6,0.4065,0.5935,0.0,0.2195,13,1.37
1,aoi_time_since_last_touch<=3.000(p75),-0.0007,73.5,1373,196.3,0.4064,0.5929,0.0007,0.2199,12,1.371
1,signal_candle_opposite_extreme_atr<=1.068(p75),-0.0007,68.4,1277,182.6,0.4064,0.5928,0.0008,0.2199,12,1.371
1,htf_range_size_mid_atr<=32.061(p90),-0.0008,88.9,1659,237.2,0.4063,0.5931,0.0006,0.2193,11,1.37
1,max_retest_penetration_atr>=0.284(p10),-0.0009,91.9,1716,245.3,0.4062,0.5932,0.0006,0.219,11,1.369
1,aoi_height_atr>=0.979(p10),-0.0009,89.1,1664,237.9,0.4062,0.5938,0.0,0.2188,9,1.368
1,geo_aoi_height_atr>=0.979(p10),-0.0009,89.1,1664,237.9,0.4062,0.5938,0.0,0.2188,9,1.368
1,aoi_time_since_last_touch<=19.000(p90),-0.001,88.4,1650,235.9,0.4061,0.5933,0.0006,0.2187,9,1.369
1,geo_aoi_height_atr<=1.513(p75),-0.001,77.8,1453,207.7,0.4061,0.5933,0.0007,0.2188,14,1.369
1,aoi_height_atr<=1.513(p75),-0.001,77.8,1453,207.7,0.4061,0.5933,0.0007,0.2188,14,1.369
1,recent_trend_payoff_atr_48h>=-2.301(p25),-0.0011,74.7,1394,199.3,0.406,0.5933,0.0007,0.2187,12,1.369
1,htf_range_size_mid_atr>=13.707(p10),-0.0011,90.4,1687,241.2,0.406,0.594,0.0,0.2181,13,1.367
1,retest_candle_body_penetration>=0.166(p10),-0.0013,90.9,1698,242.7,0.4058,0.5936,0.0006,0.2178,9,1.367
1,htf_range_size_mid_atr>=16.728(p25),-0.0014,76.4,1427,204.0,0.4057,0.5943,0.0,0.2172,14,1.366
1,recent_trend_payoff_atr_24h>=-2.277(p25),-0.0016,73.7,1376,196.7,0.4055,0.5938,0.0007,0.2172,11,1.366
1,distance_to_next_htf_obstacle_atr<=1.793(p90),-0.002,90.0,1681,240.3,0.4051,0.5943,0.0006,0.2159,10,1.363
1,trend_age_bars_1h<=12.000(p75),-0.0021,74.4,1390,198.7,0.405,0.5942,0.0007,0.2157,14,1.363
1,aoi_near_edge_atr>=0.045(p10),-0.0021,91.4,1706,243.9,0.405,0.595,0.0,0.2151,9,1.362
1,trend_age_impulses<=6.000(p75),-0.0022,80.3,1499,214.3,0.4049,0.5944,0.0007,0.2154,10,1.362
1,break_impulse_range_atr>=0.762(p25),-0.0024,84.3,1574,225.0,0.4047,0.5953,0.0,0.2141,10,1.36
1,signal_candle_range_atr>=0.762(p25),-0.0024,84.3,1574,225.0,0.4047,0.5953,0.0,0.2141,10,1.36
1,break_impulse_body_atr<=0.853(p75),-0.0024,70.3,1312,187.6,0.4047,0.5945,0.0008,0.2148,12,1.361
1,signal_candle_body_atr<=0.853(p75),-0.0024,70.3,1312,187.6,0.4047,0.5945,0.0008,0.2148,12,1.361
1,trend_age_bars_1h<=0.000(p25),-0.0025,66.8,1248,178.4,0.4046,0.5946,0.0008,0.2146,14,1.361
1,recent_trend_payoff_atr_48h>=-4.773(p10),-0.0025,90.4,1688,241.3,0.4046,0.5948,0.0006,0.2144,10,1.36
1,trend_age_bars_1h<=0.000(p50),-0.0025,66.8,1248,178.4,0.4046,0.5946,0.0008,0.2146,14,1.361
1,trend_age_bars_1h<=0.000(p10),-0.0025,66.8,1248,178.4,0.4046,0.5946,0.0008,0.2146,14,1.361
1,break_close_location<=0.895(p90),-0.0033,90.7,1694,242.2,0.4038,0.5956,0.0006,0.2118,10,1.356
1,retest_candle_body_penetration<=0.636(p75),-0.0036,73.0,1363,194.8,0.4035,0.5965,0.0,0.2106,15,1.353
1,break_impulse_body_atr<=1.197(p90),-0.0056,88.0,1644,235.0,0.4015,0.5979,0.0006,0.2049,13,1.343
1,htf_range_size_mid_atr<=25.952(p75),-0.0056,73.1,1365,195.1,0.4015,0.5978,0.0007,0.205,15,1.343
1,signal_candle_body_atr<=1.197(p90),-0.0056,88.0,1644,235.0,0.4015,0.5979,0.0006,0.2049,13,1.343
1,distance_to_next_htf_obstacle_atr<=1.081(p75),-0.0067,76.7,1431,204.6,0.4004,0.5989,0.0007,0.2019,14,1.337
1,break_impulse_range_atr<=1.814(p90),-0.0067,87.1,1626,232.4,0.4004,0.599,0.0006,0.2016,13,1.337
1,signal_candle_range_atr<=1.814(p90),-0.0067,87.1,1626,232.4,0.4004,0.599,0.0006,0.2016,13,1.337
1,aoi_time_since_last_touch<=0.000(p10),-0.0071,54.4,1015,145.1,0.4,0.599,0.001,0.2008,15,1.335
1,aoi_time_since_last_touch<=0.000(p50),-0.0071,54.4,1015,145.1,0.4,0.599,0.001,0.2008,15,1.335
1,aoi_time_since_last_touch<=0.000(p25),-0.0071,54.4,1015,145.1,0.4,0.599,0.001,0.2008,15,1.335
1,aoi_near_edge_atr<=0.865(p90),-0.0073,88.4,1651,236.0,0.3998,0.5996,0.0006,0.1998,14,1.333
1,signal_candle_opposite_extreme_atr<=1.419(p90),-0.0075,87.8,1639,234.3,0.3996,0.5998,0.0006,0.1994,14,1.332
1,aoi_far_edge_atr<=2.365(p90),-0.0076,89.5,1672,239.0,0.3995,0.5999,0.0006,0.1991,14,1.332
1,break_close_location<=0.852(p75),-0.0091,76.2,1422,203.3,0.398,0.6013,0.0007,0.1947,12,1.324
1,session_directional_bias>=-1.110(p25),-0.0099,64.1,1196,171.0,0.3972,0.6028,0.0,0.1915,11,1.318
1,aoi_near_edge_atr<=0.521(p75),-0.0103,70.3,1313,187.7,0.3968,0.6024,0.0008,0.1911,12,1.317
1,aoi_height_atr<=1.320(p50),-0.0105,53.9,1006,143.8,0.3966,0.6024,0.001,0.1907,18,1.317
1,geo_aoi_height_atr<=1.320(p50),-0.0105,53.9,1006,143.8,0.3966,0.6024,0.001,0.1907,18,1.317
1,retest_candle_body_penetration>=0.413(p50),-0.0107,54.3,1014,145.0,0.3964,0.6026,0.001,0.1902,11,1.316
1,recent_trend_payoff_atr_48h<=0.226(p50),-0.0132,51.3,957,136.8,0.3939,0.605,0.001,0.1827,14,1.302
1,aoi_far_edge_atr<=1.988(p75),-0.0133,74.4,1389,198.6,0.3938,0.6055,0.0007,0.182,11,1.301
1,max_retest_penetration_atr>=0.741(p50),-0.0136,54.3,1014,145.0,0.3935,0.6055,0.001,0.1813,13,1.299
1,trend_age_impulses<=5.000(p50),-0.0164,60.1,1121,160.3,0.3907,0.6084,0.0009,0.1729,12,1.284
1,bars_between_retest_and_break>=1.000(p50),-0.0213,53.5,998,142.7,0.3858,0.6142,0.0,0.1573,10,1.256
1,distance_to_next_htf_obstacle_atr<=0.549(p50),-0.0244,52.5,980,140.1,0.3827,0.6163,0.001,0.1488,20,1.241
