depth,gates,delta_win,retain_pct,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
3,break_close_location>=0.496(p10) & recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0173,66.6,1244,177.8,0.4244,0.5748,0.0008,0.274,11,1.477
2,trend_age_impulses>=5.000(p50) & htf_range_size_high_atr>=24.415(p10),0.0173,59.2,1105,158.0,0.4244,0.5756,0.0,0.2733,11,1.475
2,aoi_far_edge_atr>=1.414(p25) & signal_candle_opposite_extreme_atr>=0.359(p10),0.017,72.0,1344,192.1,0.4241,0.5759,0.0,0.2723,9,1.473
2,recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.514(p25),0.017,63.1,1179,168.5,0.4241,0.5759,0.0,0.2723,10,1.473
2,break_close_location>=0.496(p10) & aoi_near_edge_atr>=0.271(p50),0.0169,54.0,1007,144.0,0.424,0.576,0.0,0.2721,12,1.472
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & recent_trend_payoff_atr_48h<=2.606(p75) & signal_candle_opposite_extreme_atr>=0.359(p10),0.0169,53.2,993,142.0,0.424,0.575,0.001,0.2728,11,1.474
3,distance_to_next_htf_obstacle_atr>=0.235(p25) & break_close_location>=0.496(p10) & recent_trend_payoff_atr_48h<=2.606(p75),0.0168,51.0,953,136.2,0.4239,0.575,0.001,0.2727,11,1.474
2,break_impulse_body_atr>=0.328(p25) & trend_age_impulses>=4.000(p25),0.0168,66.5,1241,177.4,0.4239,0.5761,0.0,0.2716,12,1.471
2,htf_range_size_high_atr>=24.415(p10) & aoi_far_edge_atr>=1.414(p25),0.0168,70.4,1314,187.8,0.4239,0.5761,0.0,0.2717,9,1.472
2,trend_age_impulses>=4.000(p25) & signal_candle_body_atr>=0.328(p25),0.0168,66.5,1241,177.4,0.4239,0.5761,0.0,0.2716,12,1.471
2,aoi_far_edge_atr>=1.414(p25) & aoi_near_edge_atr>=0.271(p50),0.0167,51.7,965,138.0,0.4238,0.5762,0.0,0.2715,10,1.471
2,distance_to_next_htf_obstacle_atr>=0.235(p25) & aoi_far_edge_atr>=1.414(p25),0.0166,53.7,1003,143.4,0.4237,0.5763,0.0,0.2712,10,1.471
2,break_close_location>=0.636(p25) & break_close_location>=0.764(p50),0.0165,50.5,942,134.7,0.4236,0.5754,0.0011,0.2716,12,1.472
1,break_close_location>=0.764(p50),0.0165,50.5,942,134.7,0.4236,0.5754,0.0011,0.2716,12,1.472
