label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor,direction,gate_form,threshold,filter_dir
dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=2,713,101.9,0.4264,0.2791,9,1.487,combined,dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=2,0.45,dir_split_gate
dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=3,839,119.9,0.4303,0.2908,11,1.51,combined,dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=3,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=3,775,110.8,0.4181,0.2542,9,1.437,combined,dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=3,0.45,dir_split_gate
dir_split_htf>=0.5/<=0.5 & bars_between_retest_and_break<=3,717,102.5,0.4142,0.2427,9,1.414,combined,dir_split_htf>=0.5/<=0.5 & bars_between_retest_and_break<=3,0.5,dir_split_gate
dir_split_htf>=0.4/<=0.6 & distance_to_next_htf_obstacle_atr>=0.25,821,117.4,0.4239,0.2716,10,1.471,combined,dir_split_htf>=0.4/<=0.6 & distance_to_next_htf_obstacle_atr>=0.25,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & distance_to_next_htf_obstacle_atr>=0.25,773,110.5,0.4101,0.2303,10,1.39,combined,dir_split_htf>=0.45/<=0.55 & distance_to_next_htf_obstacle_atr>=0.25,0.45,dir_split_gate
dir_split_htf>=0.5/<=0.5 & distance_to_next_htf_obstacle_atr>=0.25,715,102.2,0.4028,0.2084,11,1.349,combined,dir_split_htf>=0.5/<=0.5 & distance_to_next_htf_obstacle_atr>=0.25,0.5,dir_split_gate
dir_split_htf>=0.4/<=0.6 & break_close_location>=0.65,734,104.9,0.4264,0.2793,9,1.487,combined,dir_split_htf>=0.4/<=0.6 & break_close_location>=0.65,0.4,dir_split_gate
dir_split_htf>=0.4/<=0.6 & max_retest_penetration_atr<=1.25,801,114.5,0.432,0.2959,9,1.521,combined,dir_split_htf>=0.4/<=0.6 & max_retest_penetration_atr<=1.25,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & max_retest_penetration_atr<=1.25,738,105.5,0.4187,0.2561,9,1.441,combined,dir_split_htf>=0.45/<=0.55 & max_retest_penetration_atr<=1.25,0.45,dir_split_gate
