bear_hard,bull_hard,min_dir_score,min_uni_score,avail_bear,avail_bull,avail_uni,bear_features,bull_features,uni_features,bear_win,bear_tpy,bull_win,bull_tpy,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
tc<=3+range<=1.14,none,1,3,3,5,4,near<=0.32|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4203,166.0,1412,201.9,0.4412,0.3393,11,1.617
none,none,3,0,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4419,145.2,0.4396,121.9,1869,267.2,0.4409,0.327,16,1.588
none,none,3,1,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4406,144.4,0.441,121.2,1858,265.6,0.4408,0.3267,16,1.587
tc<=3+dist>=0.21,none,2,1,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.422,187.0,1559,222.9,0.4407,0.3345,12,1.606
none,sbias>=0.2+opp<=0.87,2,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4381,150.1,,,1147,164.0,0.4403,0.3269,14,1.588
none,sbias>=0.2+tc<=5,2,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4381,150.1,,,1127,161.1,0.4401,0.3265,14,1.587
none,sbias>=0.2,1,3,5,4,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.433,163.1,,,1330,190.1,0.4398,0.3326,16,1.601
tc<=3+dist>=0.21,none,0,3,3,5,4,near<=0.32|range<=1.14|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,,,0.4143,171.8,1513,216.3,0.4395,0.3347,14,1.607
none,none,1,4,5,5,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,sbias>=0.2|opp<=0.87|body<=0.64|tc<=5|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.4583,80.5,0.4189,78.5,1112,159.0,0.4388,0.3303,10,1.597
none,sbias>=0.2+tc<=5,1,3,5,3,4,tc<=3|near<=0.32|range<=1.14|dist>=0.21|htfsize<=48,opp<=0.87|body<=0.64|dist>=0.21,bcl<=0.91|bars<=2|age<=6|payoff24<=2.04,0.433,163.1,,,1254,179.3,0.4386,0.3256,15,1.586
